feature_name,feature_index
ctx__rec_exceeds_proj,967
ctx__rec_exceeds_velocity,968
ctx__rec_exceeds_shortage,969
ctx__rec_supported_by_shortage,970
ctx__review_priority_score,971
ctx__review_top_need_in_group,972
ctx__review_top_rank_in_group,973
ctx__review_high_confidence_need,974
ctx__review_low_confidence_need,975
ctx__site802_high_rec_low_velocity,976
ctx__site802_proj_rec_disagreement,977
ctx__site802_single_flm_risk,978
ctx__site802_strong_demand_support,979
ctx__site802_cut_candidate,980
ctx__site802_rescue_candidate,981
ctx__conservative_need_score,982
ctx__aggressive_need_score,983
ctx__need_rank_in_class_line,984
ctx__need_percentile_in_class_line_v37,985
ctx__rec_rank_in_class_line,986
ctx__velocity_rank_in_class_line,987
ctx__shortage_flm_rank_in_class_line,988
ctx__rank_adjusted_need_percentile,989
ctx__top5_need_in_class_line,990
ctx__top10_need_in_class_line,991
ctx__above_median_need_in_class_line,992
ctx__class_line_total_shortage_flms_v37,993
ctx__class_line_total_alloc_rec_flms,994
ctx__class_line_total_proj_gap_flms,995
ctx__class_line_dc_to_total_shortage,996
ctx__class_line_dc_to_total_rec,997
ctx__class_line_dc_pressure_score,998
ctx__class_line_rows_competing_for_dc,999
ctx__class_line_tight_dc_flag,1000
ctx__class_line_abundant_dc_flag,1001
ctx__supply_after_3flm,1002
ctx__gap_after_1flm_to_proj,1003
ctx__gap_after_2flm_to_proj,1004
ctx__gap_after_3flm_to_proj,1005
ctx__gap_after_1flm_to_velocity,1006
ctx__gap_after_2flm_to_velocity,1007
ctx__gap_after_3flm_to_velocity,1008
ctx__oversupply_after_3flm,1009
ctx__hyp_final_supply_if_rec,1010
ctx__hyp_final_supply_if_1flm,1011
ctx__hyp_final_supply_if_2flm,1012
ctx__hyp_final_supply_if_3flm,1013
ctx__hyp_final_supply_if_rec_to_proj_ratio,1014
ctx__hyp_final_supply_if_rec_to_velocity_ratio,1015
ctx__hyp_final_supply_if_1flm_to_proj_ratio,1016
