segment,rows,mae_units,rmse_units,exact_rate,within_1_flm_rate,false_positives,false_negatives,pred_units,actual_units,unit_delta,negative_violations,over_dc_violations,group_col,group_value
Site=126,202,0.297029702970297,1.6380379473112592,0.9455445544554455,1.0,1,6,641.0,649.0,-8.0,0,0,Site,126
Site=132,136,0.16911764705882354,1.127855852283177,0.9558823529411765,1.0,1,5,312.0,331.0,-19.0,0,0,Site,132
Site=137,79,0.1518987341772152,1.3501054811112287,0.9873417721518988,1.0,0,1,96.0,108.0,-12.0,0,0,Site,137
Site=138,113,0.02654867256637168,0.1629376339780705,0.9734513274336283,1.0,0,1,300.0,299.0,1.0,0,0,Site,138
Site=139,239,0.12552301255230125,0.7543458470116778,0.9581589958158996,0.99581589958159,1,7,648.0,676.0,-28.0,0,0,Site,139
Site=145,218,0.8669724770642202,7.232381312509821,0.9311926605504587,0.9862385321100917,2,2,1260.0,1189.0,71.0,0,0,Site,145
Site=148,120,0.39166666666666666,2.0269023985711137,0.9583333333333334,1.0,2,3,347.0,346.0,1.0,0,0,Site,148
Site=149,118,0.1440677966101695,1.1312210292198217,0.9576271186440678,1.0,0,3,318.0,333.0,-15.0,0,0,Site,149
Site=152,103,0.009708737864077669,0.0985329278164293,0.9902912621359223,1.0,0,0,190.0,189.0,1.0,0,0,Site,152
Site=155,169,0.2958579881656805,1.7842174622681848,0.9585798816568047,1.0,2,5,444.0,466.0,-22.0,0,0,Site,155
Site=158,181,0.2541436464088398,1.460341290617667,0.9502762430939227,1.0,2,5,355.0,371.0,-16.0,0,0,Site,158
Site=159,277,0.3574007220216607,1.6021195347445547,0.9133574007220217,0.9891696750902527,3,9,1065.0,1096.0,-31.0,0,0,Site,159
Site=163,93,0.0967741935483871,0.5956833971812706,0.967741935483871,0.989247311827957,0,3,84.0,93.0,-9.0,0,0,Site,163
Site=176,99,0.12121212121212122,0.8528028654224418,0.9696969696969697,1.0,0,3,273.0,285.0,-12.0,0,0,Site,176
Site=177,104,0.17307692307692307,1.7650452162436563,0.9903846153846154,1.0,0,1,185.0,203.0,-18.0,0,0,Site,177
Site=178,165,0.09090909090909091,0.4192345116490003,0.9454545454545454,0.9939393939393939,1,5,578.0,587.0,-9.0,0,0,Site,178
Site=179,105,0.2857142857142857,1.440899190155396,0.9333333333333333,1.0,1,2,429.0,435.0,-6.0,0,0,Site,179
Site=180,71,0.2535211267605634,1.5105264449340403,0.9436619718309859,1.0,0,3,119.0,135.0,-16.0,0,0,Site,180
Site=181,131,0.15267175572519084,1.0912560170081484,0.9465648854961832,0.9923664122137404,0,2,358.0,378.0,-20.0,0,0,Site,181
Site=182,102,0.12745098039215685,0.8688509427884128,0.9705882352941176,0.9901960784313726,0,2,282.0,295.0,-13.0,0,0,Site,182
Site=183,123,0.13821138211382114,1.1079901968983137,0.959349593495935,1.0,0,3,287.0,300.0,-13.0,0,0,Site,183
Site=184,146,0.2876712328767123,1.7399417404827016,0.952054794520548,1.0,1,3,485.0,517.0,-32.0,0,0,Site,184
Site=185,123,0.2764227642276423,1.6964812938808977,0.959349593495935,1.0,0,4,350.0,384.0,-34.0,0,0,Site,185
Site=186,106,0.2830188679245283,1.6823164622761329,0.9528301886792453,1.0,0,3,265.0,287.0,-22.0,0,0,Site,186
Site=187,95,0.12631578947368421,0.5982430416161189,0.9473684210526315,0.9894736842105263,0,2,215.0,215.0,0.0,0,0,Site,187
Site=188,91,0.03296703296703297,0.2344036154692477,0.978021978021978,1.0,1,0,186.0,187.0,-1.0,0,0,Site,188
Site=189,84,0.05952380952380952,0.28867513459481287,0.9523809523809523,1.0,0,1,280.0,285.0,-5.0,0,0,Site,189
Site=190,91,0.1978021978021978,1.3008872711759818,0.945054945054945,1.0,1,3,207.0,221.0,-14.0,0,0,Site,190
Site=191,86,0.023255813953488372,0.15249857033260467,0.9767441860465116,1.0,0,1,132.0,132.0,0.0,0,0,Site,191
Site=193,77,0.15584415584415584,1.162174406295953,0.974025974025974,1.0,0,2,356.0,368.0,-12.0,0,0,Site,193
Site=194,117,0.03418803418803419,0.22645540682891915,0.9743589743589743,1.0,0,2,342.0,346.0,-4.0,0,0,Site,194
Site=195,87,0.13793103448275862,1.2865350418053538,0.9885057471264368,1.0,0,1,185.0,197.0,-12.0,0,0,Site,195
Site=196,152,0.13815789473684212,0.8231838062956344,0.9671052631578947,1.0,0,3,445.0,456.0,-11.0,0,0,Site,196
Site=197,122,0.4180327868852459,1.9731808388870038,0.9180327868852459,0.9918032786885246,2,2,558.0,561.0,-3.0,0,0,Site,197
Site=198,100,0.06,0.31622776601683794,0.96,1.0,0,2,247.0,247.0,0.0,0,0,Site,198
Site=199,70,0.0,0.0,1.0,1.0,0,0,133.0,133.0,0.0,0,0,Site,199
Site=201,119,0.058823529411764705,0.27500954910846337,0.9495798319327731,1.0,0,2,263.0,268.0,-5.0,0,0,Site,201
Site=202,207,0.14492753623188406,0.9780192938436515,0.961352657004831,0.9903381642512077,0,4,653.0,679.0,-26.0,0,0,Site,202
Site=203,154,0.3181818181818182,1.5268165676232464,0.922077922077922,0.9935064935064936,2,6,479.0,510.0,-31.0,0,0,Site,203
Site=204,193,0.18652849740932642,1.1606680227642,0.9533678756476683,1.0,0,4,734.0,740.0,-6.0,0,0,Site,204
Site=205,189,0.25396825396825395,1.462041770116756,0.9470899470899471,1.0,0,7,543.0,587.0,-44.0,0,0,Site,205
Site=206,205,0.2682926829268293,1.6630855836476321,0.9658536585365853,1.0,0,3,704.0,715.0,-11.0,0,0,Site,206
Site=207,178,0.2808988764044944,1.801996396010812,0.9662921348314607,1.0,0,4,532.0,580.0,-48.0,0,0,Site,207
Site=208,243,0.5390946502057613,2.2870182935204344,0.9135802469135802,1.0,1,16,825.0,910.0,-85.0,0,0,Site,208
Site=209,130,0.16153846153846155,1.5859964108990334,0.9692307692307692,1.0,0,1,373.0,390.0,-17.0,0,0,Site,209
Site=210,128,0.09375,0.5994789404140899,0.9609375,0.9921875,1,1,350.0,342.0,8.0,0,0,Site,210
Site=211,106,0.05660377358490566,0.3071475584169756,0.9622641509433962,1.0,0,2,207.0,213.0,-6.0,0,0,Site,211
Site=212,216,0.5462962962962963,2.3333333333333335,0.9074074074074074,0.9814814814814815,2,6,893.0,879.0,14.0,0,0,Site,212
Site=213,128,0.515625,2.478028450199876,0.9296875,1.0,1,4,301.0,355.0,-54.0,0,0,Site,213
Site=214,124,0.2661290322580645,1.4673874084411427,0.9516129032258065,0.9838709677419355,0,5,323.0,348.0,-25.0,0,0,Site,214
Site=215,106,0.03773584905660377,0.3071475584169756,0.9811320754716981,1.0,0,0,347.0,343.0,4.0,0,0,Site,215
Site=216,50,0.04,0.2,0.96,1.0,0,2,99.0,101.0,-2.0,0,0,Site,216
Site=217,147,0.1360544217687075,1.0562415720389922,0.9591836734693877,1.0,0,2,626.0,642.0,-16.0,0,0,Site,217
Site=218,106,0.25471698113207547,1.6625735903701304,0.9622641509433962,1.0,0,3,221.0,244.0,-23.0,0,0,Site,218
Site=219,77,0.03896103896103896,0.25482359571881275,0.974025974025974,1.0,0,2,191.0,194.0,-3.0,0,0,Site,219
Site=220,132,0.17424242424242425,1.270289873862011,0.9696969696969697,1.0,0,3,348.0,371.0,-23.0,0,0,Site,220
Site=221,216,0.23148148148148148,1.3368010461684405,0.9490740740740741,0.9907407407407407,0,5,669.0,715.0,-46.0,0,0,Site,221
Site=222,213,0.25821596244131456,1.9536891790790838,0.9671361502347418,0.9906103286384976,0,3,796.0,825.0,-29.0,0,0,Site,222
Site=223,123,0.024390243902439025,0.15617376188860607,0.975609756097561,1.0,0,1,443.0,444.0,-1.0,0,0,Site,223
Site=224,173,0.3063583815028902,1.4995182270632117,0.9190751445086706,1.0,2,4,512.0,531.0,-19.0,0,0,Site,224
Site=225,227,0.3568281938325991,1.9475501384688971,0.9295154185022027,0.9955947136563876,5,7,750.0,753.0,-3.0,0,0,Site,225
Site=226,109,0.05504587155963303,0.40637127688715785,0.9724770642201835,1.0,0,1,259.0,263.0,-4.0,0,0,Site,226
Site=227,168,0.15476190476190477,1.0408329997330663,0.9583333333333334,1.0,0,2,528.0,538.0,-10.0,0,0,Site,227
Site=228,134,0.08955223880597014,0.5859040724295678,0.9626865671641791,1.0,0,1,419.0,417.0,2.0,0,0,Site,228
Site=229,201,0.2885572139303483,1.6571869709590459,0.9402985074626866,1.0,2,6,611.0,651.0,-40.0,0,0,Site,229
Site=230,190,0.22631578947368422,1.266989801811655,0.9368421052631579,1.0,2,5,616.0,627.0,-11.0,0,0,Site,230
Site=231,106,0.05660377358490566,0.33646329245522655,0.9716981132075472,1.0,0,3,218.0,224.0,-6.0,0,0,Site,231
Site=232,181,0.2154696132596685,1.388588058273623,0.9668508287292817,0.994475138121547,1,1,793.0,800.0,-7.0,0,0,Site,232
Site=233,155,0.2967741935483871,1.6733200530681511,0.9483870967741935,0.9935483870967742,1,4,601.0,621.0,-20.0,0,0,Site,233
